,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Miles_Driven
53,2013,Diesel,Manual,First,66,1248.0,74.0,5856,40793
54,2015,Petrol,Manual,Third,44,1197.0,82.0,5476,33554
55,2015,Petrol,Manual,First,35,1598.0,103.2,6069,24233
56,2017,Petrol,Manual,First,59,799.0,53.3,5020,10278
57,2010,Petrol,Manual,First,47,1197.0,78.9,3148,19883
58,2010,Diesel,Automatic,First,31,1995.0,147.6,11789,75690
59,2010,Petrol,Manual,First,42,998.0,67.1,3422,24419
60,2017,Diesel,Manual,First,32,2393.0,147.8,25100,13670
61,2010,Diesel,Manual,First,47,1399.0,68.0,4183,44738
62,2015,Petrol,Automatic,First,27,1796.0,186.0,40616,36039
63,2011,Diesel,Manual,Second,37,2148.0,170.0,15212,40389
64,2016,Diesel,Manual,First,58,1396.0,69.0,3803,110604
65,2012,Diesel,Automatic,First,38,1968.0,140.0,20536,40801
66,2007,Petrol,Automatic,Second,38,1497.0,78.0,2814,39146
67,2019,Diesel,Automatic,First,0,1950.0,194.0,54261,9549
68,2016,Diesel,Manual,First,57,1248.0,88.5,12397,39146
69,2018,Diesel,Manual,First,51,1396.0,88.7,15972,8077
70,2008,Petrol,Automatic,First,19,4806.0,500.0,22057,45360
71,2015,Diesel,Manual,First,35,2179.0,140.0,14679,34628
72,2012,Petrol,Automatic,First,39,1197.0,78.9,5293,28072
73,2015,Diesel,Manual,First,46,1461.0,108.5,10526,34837
74,2016,Petrol,Automatic,Second,38,1198.0,86.8,9827,23177
75,2014,Diesel,Automatic,Second,43,1968.0,187.74,44875,34796
76,2006,Petrol,Manual,Third,29,1998.0,132.0,6845,142915
77,2012,Diesel,Manual,First,30,2494.0,102.0,17874,64622
78,2012,Diesel,Manual,First,53,1248.0,74.0,5704,59092
79,2017,Petrol,Manual,First,41,1193.0,88.7,6845,43495
80,2016,Petrol,Manual,First,42,1198.0,86.7,7332,34140
81,2012,Diesel,Manual,First,47,1399.0,68.0,4259,43705
82,2013,Diesel,Manual,First,54,1248.0,73.94,4730,61912
83,2009,Petrol,Manual,First,41,1497.0,117.3,4943,32311
84,2011,Diesel,Automatic,Second,39,1995.0,218.0,21144,46602
85,2009,Petrol,Manual,First,47,1197.0,78.9,3422,59639
86,2016,Petrol,Manual,First,44,1197.0,82.0,8747,9941
87,2016,Petrol,Manual,First,41,1198.0,86.7,7606,11774
88,2014,Diesel,Manual,First,30,2982.0,168.5,25100,66486
89,2018,Diesel,Automatic,First,41,1968.0,174.33,60209,30053
90,2013,Diesel,Manual,First,53,1498.0,89.84,8366,35418
91,2014,Diesel,Manual,First,35,2179.0,140.0,12321,36039
92,2015,Diesel,Manual,First,60,1498.0,98.6,5324,18641
93,2013,Diesel,Manual,First,51,1199.0,73.9,4244,21258
94,2010,Diesel,Manual,First,38,1493.0,110.0,5248,43497
95,2016,Petrol,Manual,First,44,998.0,67.1,6769,38525
96,2010,Petrol,Manual,First,35,1598.0,103.5,4031,38525
97,2011,Diesel,Manual,Second,54,1396.0,90.0,5780,49062
98,2014,Petrol,Manual,First,43,1197.0,82.85,7073,18752
99,2017,Petrol,Manual,First,46,1198.0,67.0,6008,20412
100,2010,Diesel,Automatic,First,35,2967.0,241.4,14907,18641
101,2009,Petrol,Manual,Second,39,1197.0,80.0,4107,41010
102,2010,Petrol,Manual,First,32,796.0,35.0,3666,58315
103,2014,Petrol,Manual,First,41,1197.0,78.9,5932,32932
104,2011,Diesel,Automatic,Second,34,2993.0,270.9,36509,48466
105,2012,Diesel,Manual,Second,37,2179.0,140.0,8747,40389
106,2014,Diesel,Automatic,First,52,1582.0,126.32,7986,24854
107,2017,Diesel,Automatic,First,26,2755.0,171.5,29283,18641
108,2017,Petrol,Manual,First,35,1196.0,73.0,5947,23645
109,2014,Petrol,Manual,First,59,624.0,37.5,3270,15844
110,2015,Diesel,Automatic,First,53,1995.0,190.0,31565,34850
111,2010,Petrol,Manual,First,31,1799.0,130.0,5096,44172
112,2014,Diesel,Manual,First,30,2494.0,100.6,16900,34175
113,2014,Diesel,Automatic,First,54,1984.0,150.0,30424,20318
114,2016,Petrol,Automatic,First,45,1198.0,75.94,9963,24781
115,2009,Petrol,Automatic,First,25,2497.0,215.0,10648,79535
116,2016,Diesel,Manual,First,57,1248.0,88.5,11409,34175
117,2014,Diesel,Automatic,Second,35,2143.0,107.3,25480,33400
118,2018,Diesel,Manual,First,51,1582.0,126.2,16657,6369
119,2011,Petrol,Manual,First,44,998.0,67.1,3726,27262
120,2017,Petrol,Automatic,First,51,624.0,37.48,4913,20308
121,2014,Diesel,Manual,First,28,2179.0,120.0,11789,26097
122,2009,Petrol,Automatic,First,27,1796.0,178.0,14223,17617
123,2013,CNG,Manual,First,62,998.0,58.16,4943,55861
124,2007,Petrol,Manual,Second,25,2354.0,152.0,7986,29639
125,2015,Diesel,Automatic,First,49,1498.0,103.2,11028,34175
126,2017,Petrol,Manual,First,48,1373.0,91.1,11363,27517
127,2016,Diesel,Automatic,First,37,2179.0,140.0,20156,33554
128,2016,Petrol,Manual,First,49,1197.0,85.8,8838,18785
129,2014,Petrol,Manual,First,56,998.0,67.1,3955,54991
130,2017,Petrol,Automatic,First,44,2996.0,362.07,82145,8308
131,2019,Petrol,Automatic,First,39,1591.0,121.3,17494,7857
132,2010,Petrol,Manual,Second,46,796.0,46.3,2433,58648
133,2015,Diesel,Automatic,First,48,1995.0,143.0,26195,19772
134,2015,Petrol,Automatic,First,44,1199.0,88.7,9127,7456
135,2012,Petrol,Manual,First,31,1799.0,130.0,6008,55039
136,2014,Diesel,Automatic,First,45,2143.0,170.0,27305,27939
137,2014,Diesel,Manual,First,60,1498.0,98.6,5628,27989
138,2016,Petrol,Manual,First,51,1197.0,81.8,8260,21253
139,2012,Diesel,Manual,First,27,2982.0,171.0,20521,56690
140,2014,Petrol,Manual,First,43,1199.0,76.8,4335,24109
141,2013,Diesel,Manual,First,49,1498.0,103.52,7225,51573
142,2018,Petrol,Manual,First,48,1373.0,91.1,15060,25652
143,2013,Petrol,Automatic,First,25,2894.0,444.0,56285,14291
144,2014,Diesel,Automatic,First,51,1995.0,190.0,40312,29825
145,2015,Diesel,Automatic,First,40,1968.0,174.33,35474,29958
146,2016,Diesel,Manual,First,53,1248.0,74.0,9507,21747
147,2010,Petrol,Automatic,First,18,5461.0,362.9,45636,21920
148,2016,Diesel,Automatic,First,50,1498.0,103.52,14999,33939
149,2012,Diesel,Automatic,First,40,1968.0,138.1,12930,85125
150,2019,Petrol,Manual,First,49,814.0,55.2,6434,8899
151,2012,Diesel,Manual,First,51,1199.0,73.9,5324,40783
152,2016,Petrol,Manual,First,48,1198.0,67.06,3803,3728
153,2013,Petrol,Manual,First,45,1198.0,86.8,3635,20679
154,2013,Petrol,Automatic,First,34,1595.0,120.7,17113,18019
155,2015,Diesel,Manual,First,61,1498.0,98.6,10815,26613
156,2016,Diesel,Manual,First,30,2494.0,100.6,16581,55923
157,2017,Petrol,Manual,First,47,1197.0,81.8,9431,14916
158,2012,Diesel,Manual,First,35,2179.0,140.0,12017,20375
159,2014,Diesel,Manual,First,53,1498.0,89.84,6723,91899
160,2012,Diesel,Manual,First,30,2982.0,168.5,20536,81874
161,2013,Diesel,Automatic,First,50,1498.0,108.5,9507,40389
162,2010,Diesel,Manual,Second,47,1399.0,68.0,3194,41086
163,2015,Diesel,Automatic,First,35,2993.0,258.0,68454,25476
164,2017,Diesel,Automatic,First,45,2143.0,167.62,51204,14633
165,2012,Petrol,Manual,Second,45,1198.0,86.8,5552,27961
166,2013,Petrol,Manual,First,47,1197.0,78.9,4183,37282
167,2016,Diesel,Automatic,First,42,2143.0,170.0,64651,27597
168,2019,Petrol,Manual,First,44,1197.0,81.86,9887,621
169,2012,Diesel,Automatic,Second,41,1968.0,174.33,28903,38835
170,2013,Petrol,Automatic,Second,33,1598.0,103.6,6769,13048
171,2017,Diesel,Automatic,Second,39,1998.0,112.0,34988,5297
172,2014,Diesel,Manual,First,53,1396.0,88.73,12702,18019
173,2014,Diesel,Automatic,First,41,1968.0,174.33,34911,24854
174,2012,Diesel,Manual,First,59,936.0,57.6,2281,54680
175,2012,Petrol,Automatic,First,32,1798.0,157.75,10481,33266
176,2006,Diesel,Manual,Second,41,1399.0,68.0,2205,134216
177,2014,Diesel,Automatic,First,52,1995.0,190.0,50960,31689
178,2007,Petrol,Manual,First,30,1598.0,102.5,1901,73632
179,2012,Diesel,Manual,First,51,1199.0,73.9,6389,39146
180,2015,Diesel,Manual,First,46,1461.0,108.5,10268,15534
181,2014,Diesel,Automatic,First,30,2143.0,201.1,48679,23228
182,2017,Petrol,Manual,First,50,1197.0,83.1,11409,15393
183,2012,Diesel,Manual,First,52,1582.0,126.32,6997,38525
184,2017,Petrol,Manual,First,46,1086.0,68.05,6145,32522
185,2016,Diesel,Manual,First,36,1997.0,120.0,15683,35255
186,2018,Diesel,Automatic,First,29,2179.0,187.7,84823,22425
187,2010,Diesel,Manual,First,47,1399.0,68.0,3955,74564
188,2016,Diesel,Manual,First,59,1248.0,88.5,12930,20505
189,2014,Diesel,Manual,First,60,1498.0,98.6,5324,32311
190,2015,Petrol,Manual,First,47,1197.0,78.9,5400,27073
191,2013,Diesel,Manual,First,60,1498.0,98.6,4943,31068
192,2008,Diesel,Manual,First,41,1896.0,106.0,6845,70214
193,2014,Diesel,Manual,First,46,1461.0,83.8,8138,55923
194,2017,Diesel,Manual,Second,41,1493.0,100.0,9887,18019
195,2016,Diesel,Manual,First,57,1248.0,88.5,13690,12427
196,2016,Petrol,Manual,First,43,1197.0,81.83,9127,37911
197,2009,Petrol,Manual,First,34,1390.0,85.0,4183,54344
198,2010,Petrol,Manual,First,36,1193.0,64.1,2281,43806
199,2015,Diesel,Automatic,First,36,1968.0,174.33,30272,39831
200,2014,Petrol,Automatic,First,34,1798.0,177.5,15212,47224
201,2014,Diesel,Manual,First,55,1364.0,67.06,4563,64622
202,2014,Petrol,Automatic,First,34,1595.0,120.7,18193,23142
203,2013,Diesel,Manual,First,64,1498.0,98.6,4943,27961
204,2012,Diesel,Manual,Second,52,1582.0,126.32,7225,73220
205,2014,Diesel,Manual,First,48,1461.0,83.8,9051,18641
206,2015,Petrol,Manual,Second,35,1591.0,121.3,12397,16812
207,2016,Petrol,Automatic,First,48,998.0,67.0,6419,5281
208,2010,Petrol,Automatic,First,27,1796.0,186.0,15972,18951
209,2012,Diesel,Automatic,First,27,2967.0,246.7,68454,34796
210,2012,Petrol,Manual,Second,46,1086.0,68.05,4411,27340
211,2017,Petrol,Automatic,First,33,1598.0,103.52,13538,6524
212,2017,Petrol,Automatic,First,34,1798.0,177.46,39551,16155
213,2018,Petrol,Manual,First,40,1197.0,81.86,12504,15637
214,2014,Diesel,Manual,Second,60,1498.0,98.6,5324,39767
215,2004,Petrol,Manual,Second,44,998.0,67.1,1901,37903
216,2013,Diesel,Manual,First,49,1461.0,65.0,5628,66486
217,2018,Diesel,Automatic,First,45,2143.0,167.62,59951,18119
218,2013,Petrol,Manual,First,52,998.0,67.04,4031,19883
219,2015,Diesel,Manual,Second,44,1461.0,108.5,13569,28690
220,2017,Petrol,Automatic,First,39,1998.0,189.08,54261,16358
221,2015,Diesel,Manual,First,0,1498.0,99.0,5476,43766
222,2007,Diesel,Manual,Second,40,1396.0,53.5,1293,124274
223,2016,Petrol,Manual,Second,43,1199.0,76.8,5050,37787
224,2012,Diesel,Manual,First,51,1199.0,73.9,5476,27961
225,2016,Diesel,Manual,First,53,1248.0,74.0,10344,39767
226,2012,Diesel,Manual,First,47,1399.0,68.05,3803,25652
227,2019,Diesel,Automatic,First,26,2755.0,171.5,29876,8801
228,2011,Diesel,Automatic,Second,27,2199.0,194.3,10648,41631
229,2011,Petrol,Manual,First,40,1497.0,117.3,5887,20239
230,2018,Petrol,Manual,First,43,1197.0,81.83,9538,9295
231,2015,Diesel,Automatic,First,45,2143.0,167.62,27564,34784
232,2013,Diesel,Manual,First,59,936.0,57.6,4031,45981
233,2015,Diesel,Manual,First,53,1396.0,88.73,10952,35323
234,2015,Diesel,Manual,First,30,2494.0,100.6,21753,75418
235,2013,Diesel,Manual,First,48,1248.0,88.76,10496,32311
236,2014,Diesel,Manual,First,30,2494.0,102.0,16353,73321
237,2016,Petrol,Manual,First,41,1497.0,117.3,12306,21073
238,2014,Diesel,Automatic,First,40,1995.0,184.0,28142,50953
239,2017,Diesel,Manual,First,56,1120.0,70.0,7225,20505
240,2016,Diesel,Manual,First,66,1248.0,88.5,12854,21126
241,2012,Diesel,Manual,First,48,1598.0,103.6,5324,34175
242,2006,Diesel,Manual,First,30,1493.0,82.0,2738,99753
243,2014,Diesel,Manual,Second,46,1498.0,103.6,5628,37282
244,2017,Petrol,Manual,First,43,1199.0,88.7,10907,30804
245,2010,Petrol,Manual,First,46,1086.0,68.05,2662,51573
246,2018,Diesel,Automatic,First,38,1995.0,183.0,33451,31904
247,2017,Diesel,Manual,First,32,2393.0,147.8,28370,26718
248,2011,Petrol,Manual,Third,46,796.0,35.0,2814,21747
249,2017,Petrol,Manual,Second,47,1197.0,81.8,9051,17318
250,2014,Petrol,Manual,First,44,1197.0,82.0,5704,10261
251,2012,Diesel,Manual,First,53,1248.0,74.0,5704,74564
252,2008,Diesel,Manual,First,51,1582.0,126.2,3955,89026
253,2010,Petrol,Manual,First,39,1197.0,80.0,4259,32311
254,2017,Diesel,Automatic,First,27,2987.0,254.79,93235,18528
255,2014,Diesel,Manual,Second,37,2148.0,170.0,27381,35418
256,2014,Diesel,Manual,First,54,1248.0,73.94,6617,54991
257,2016,Diesel,Manual,First,46,1582.0,126.2,20916,17398
258,2010,Petrol,Manual,First,44,998.0,66.1,3042,41631
259,2016,Diesel,Manual,First,46,1461.0,108.45,15212,16155
260,2010,Diesel,Manual,First,41,1248.0,76.0,2510,74564
261,2017,Diesel,Automatic,First,38,2993.0,258.0,69626,32300
262,2010,Petrol,Manual,Second,47,1197.0,78.9,4943,22369
263,2016,Diesel,Manual,First,30,2494.0,102.0,19471,29204
264,2002,Petrol,Manual,Third,40,993.0,60.0,836,37282
265,2018,Diesel,Manual,First,66,1248.0,74.0,10876,19278
266,2013,Diesel,Manual,Second,28,2179.0,120.0,10648,65243
267,2017,Diesel,Manual,First,53,1248.0,74.0,5704,75745
268,2017,Petrol,Manual,First,44,999.0,123.24,12930,14102
269,2012,Diesel,Manual,First,55,1248.0,74.0,6617,45360
270,2016,Petrol,Manual,First,53,796.0,47.3,4959,20024
271,2011,Petrol,Manual,First,39,1497.0,118.0,6404,34175
272,2018,Diesel,Automatic,First,28,2967.0,241.4,107033,7013
273,2009,Diesel,Automatic,Second,39,1896.0,105.0,4487,29825
274,2012,Petrol,Manual,First,40,1591.0,121.3,6510,33745
275,2009,Petrol,Automatic,First,39,1497.0,118.0,5430,48741
276,2013,Diesel,Manual,First,51,1396.0,88.8,4730,28583
277,2014,Petrol,Automatic,First,35,1396.0,98.6,9066,27993
278,2011,Diesel,Manual,First,48,1598.0,103.6,7149,42874
279,2014,Petrol,Manual,First,40,1497.0,117.3,10496,30447
280,2018,Diesel,Manual,First,53,1248.0,74.0,7986,27961
281,2015,Diesel,Automatic,First,43,1995.0,177.0,42594,39767
282,2009,Petrol,Manual,First,44,1061.0,67.0,2053,37282
283,2015,Petrol,Manual,First,42,1199.0,88.7,7377,38635
284,2012,Diesel,Manual,First,35,1896.0,105.0,10192,36043
285,2010,Petrol,Manual,First,47,1197.0,78.9,4715,45981
286,2015,Diesel,Automatic,First,45,2143.0,170.0,28355,48324
287,2012,Petrol,Manual,First,47,1197.0,78.9,4259,28132
288,2016,Diesel,Manual,First,32,2393.0,147.8,30804,29825
289,2015,Diesel,Automatic,First,41,1968.0,174.33,40738,19667
290,2010,Diesel,Manual,Second,30,2494.0,100.6,12565,67729
291,2015,Petrol,Manual,First,38,1198.0,73.9,5917,19870
292,2011,Petrol,Manual,First,49,998.0,67.1,3194,43495
293,2017,Petrol,Automatic,First,42,1497.0,117.3,19304,9320
294,2013,Diesel,Manual,First,39,1405.0,70.0,3924,36746
295,2014,Diesel,Automatic,First,41,1968.0,174.33,31595,38354
296,2015,Diesel,Automatic,First,42,2143.0,136.0,30819,29825
297,2014,Petrol,Automatic,First,54,998.0,67.04,6465,48351
298,2017,Diesel,Automatic,First,42,2143.0,201.15,86709,18019
299,2017,Diesel,Automatic,First,29,2179.0,187.7,66933,27340
300,2011,Diesel,Manual,First,48,1598.0,103.6,5552,67497
301,2012,Petrol,Manual,First,32,796.0,35.0,3118,44608
302,2012,Petrol,Manual,First,43,1198.0,86.8,4761,57123
303,2000,Diesel,Manual,Second,33,2956.0,83.1,2281,98176
304,2012,Diesel,Manual,First,42,1248.0,75.0,4335,56658
305,2012,Petrol,Manual,First,44,998.0,67.1,4031,40389
306,2015,Diesel,Manual,First,37,2179.0,140.0,16124,54946
307,2008,Diesel,Manual,Second,40,1396.0,70.0,1901,85749
308,2018,Petrol,Manual,First,37,1373.0,93.7,12550,11184
309,2011,Petrol,Automatic,First,27,2354.0,177.6,6769,37282
310,2012,Diesel,Manual,First,45,1248.0,73.9,5628,29825
311,2009,Diesel,Manual,First,41,1399.0,68.0,4259,99419
312,2008,Petrol,Manual,First,41,1497.0,78.0,2738,24854
313,2014,Diesel,Automatic,First,41,1968.0,174.33,33390,31997
314,2011,Diesel,Automatic,First,22,2993.0,313.0,74539,18641
315,2017,Diesel,Automatic,First,34,2967.0,245.0,95334,60540
316,2008,CNG,Manual,First,61,998.0,67.1,2129,26405
317,2012,Diesel,Manual,First,54,1396.0,90.0,8366,51573
318,2009,Petrol,Automatic,Third,39,1197.0,78.9,4487,22990
319,2016,Petrol,Automatic,First,44,1199.0,88.7,10435,17710
320,2015,Diesel,Manual,First,59,1248.0,74.0,9355,47532
321,2011,Petrol,Manual,Second,43,1197.0,82.85,5020,49182
322,2011,Petrol,Manual,First,38,1198.0,73.9,3879,19883
323,2009,Petrol,Manual,First,46,796.0,46.3,2281,21747
324,2004,Petrol,Automatic,Second,26,1794.0,125.0,3803,65243
325,2006,Petrol,Manual,Second,46,796.0,46.3,2129,34796
326,2012,Diesel,Manual,First,49,1248.0,88.8,5172,45360
327,2012,Petrol,Manual,First,46,796.0,46.3,3422,23612
328,2013,Diesel,Automatic,First,45,1968.0,141.0,11409,481562
329,2008,Petrol,Automatic,First,26,1794.0,125.0,4259,49709
330,2016,Petrol,Manual,First,43,1197.0,81.83,11652,15517
331,2016,Diesel,Manual,First,57,1248.0,88.5,10876,27961
332,2010,Petrol,Manual,First,39,1497.0,118.0,5324,54326
333,2014,Diesel,Manual,Second,42,1248.0,75.0,5324,83228
334,2013,Diesel,Manual,First,60,1498.0,98.6,5248,35418
335,2016,Petrol,Manual,First,49,814.0,55.2,5400,17338
336,2015,Diesel,Automatic,Second,51,1995.0,190.0,39536,19086
337,2012,Diesel,Manual,First,52,1582.0,126.32,7986,49709
338,2013,Diesel,Manual,First,49,1248.0,88.8,4411,29393
339,2005,Petrol,Automatic,First,33,1984.0,227.0,3118,62137
340,2017,Petrol,Manual,First,56,998.0,67.1,5704,18641
341,2014,Diesel,Manual,First,53,1498.0,89.84,10268,42253
342,2011,Petrol,Manual,Second,42,995.0,62.0,1445,13048
343,2017,Diesel,Automatic,First,45,1999.0,177.0,79103,13048
344,2007,Petrol,Manual,Third,30,1997.0,141.1,5947,73943
345,2019,Petrol,Automatic,First,34,1798.0,177.46,41529,8541
346,2009,Petrol,Manual,First,47,1197.0,78.9,4107,385250
347,2013,Diesel,Manual,First,53,1248.0,74.0,5324,43495
348,2016,Petrol,Automatic,First,43,1197.0,83.14,9431,11184
349,2011,Diesel,Manual,First,54,1461.0,63.1,4183,51573
350,2015,Diesel,Manual,First,55,1248.0,74.0,4943,80778
351,2012,Diesel,Manual,First,41,1399.0,67.0,4943,39394
352,2003,Petrol,Manual,First,40,993.0,60.0,988,40389
353,2017,Petrol,Manual,First,32,1998.0,192.0,53242,5188
354,2014,Diesel,Manual,First,55,1364.0,67.05,4943,27961
355,2018,Petrol,Manual,First,58,796.0,47.3,4411,16279
356,2011,Petrol,Manual,Third,44,796.0,47.0,4411,6835
357,2009,Diesel,Automatic,Second,25,2993.0,235.0,27001,55923
358,2015,Petrol,Automatic,Second,26,2496.0,179.5,12550,45981
359,2015,Petrol,Automatic,First,44,1197.0,82.0,8777,23041
360,2017,Diesel,Manual,First,57,1248.0,88.5,14436,24233
361,2008,Diesel,Automatic,Third,28,2967.0,241.4,19699,61515
362,2015,Diesel,Automatic,First,42,2143.0,136.0,30424,23612
363,2007,Petrol,Manual,Third,37,796.0,37.0,1521,44738
364,2015,Diesel,Manual,Second,48,1461.0,83.8,10800,57787
365,2017,Diesel,Manual,First,50,1364.0,87.2,25100,3666
366,2014,Diesel,Manual,First,37,2148.0,170.0,39551,15534
367,2010,Diesel,Manual,Second,49,1248.0,73.9,4867,42253
368,2017,Petrol,Automatic,First,37,1497.0,117.3,14421,22168
369,2015,Diesel,Manual,First,57,1120.0,71.0,6084,46174
370,2014,Diesel,Automatic,First,33,2143.0,203.0,40312,36887
371,2014,Petrol,Automatic,Second,34,1595.0,120.7,17904,25712
372,2017,Diesel,Automatic,First,35,2143.0,204.0,56285,21064
373,2016,Petrol,Manual,First,41,1497.0,117.3,13310,17398
374,2011,Petrol,Manual,First,39,1497.0,118.0,5704,58397
375,2010,Petrol,Manual,First,38,1599.0,103.2,3803,59030
376,2017,Petrol,Automatic,First,31,1999.0,246.74,52482,5592
377,2015,Petrol,Manual,First,42,1198.0,86.7,7073,32631
378,2015,Petrol,Automatic,First,44,1598.0,122.0,48679,12427
379,2017,Diesel,Automatic,First,31,2987.0,282.0,95547,35077
380,2014,Petrol,Manual,First,49,814.0,55.2,4943,22990
381,2014,Petrol,Manual,First,48,998.0,67.04,4715,10811
382,2011,Diesel,Manual,First,49,1248.0,73.9,5947,56052
383,2011,Diesel,Automatic,First,37,1995.0,181.0,16733,55684
384,2014,Diesel,Manual,First,31,2179.0,138.03,5324,52816
385,2014,Diesel,Automatic,First,47,1968.0,143.0,25100,49256
386,2012,Diesel,Automatic,First,29,2179.0,187.7,45636,34796
387,2010,Diesel,Automatic,Second,28,2987.0,224.0,42594,52817
388,2018,Diesel,Automatic,First,31,2477.0,175.56,42594,7456
389,2010,Petrol,Manual,First,46,796.0,46.3,1399,77671
390,2013,Petrol,Manual,First,32,1061.0,64.0,4183,32932
391,2017,Diesel,Automatic,First,29,2179.0,187.7,81887,21741
392,2011,Petrol,Manual,Second,40,1591.0,121.3,7530,30924
393,2013,Diesel,Automatic,First,39,2993.0,218.0,50960,34796
394,2013,Diesel,Automatic,First,34,2993.0,270.9,42518,46602
395,2010,Petrol,Automatic,First,32,1798.0,157.75,11028,35418
396,2017,Diesel,Automatic,First,36,1968.0,174.33,39110,23327
397,2014,Diesel,Automatic,First,29,2179.0,187.7,45134,59433
398,2013,Diesel,Automatic,First,34,2143.0,170.0,28903,21933
399,2017,Diesel,Manual,First,36,2179.0,120.0,19851,17686
400,2015,Diesel,Automatic,First,51,1995.0,190.0,38791,25476
401,2017,Petrol,Manual,First,36,1497.0,117.3,12930,5592
402,2010,Diesel,Automatic,Second,37,2400.0,215.0,11028,57227
403,2005,Petrol,Manual,First,31,1495.0,94.0,1216,3625
404,2017,Petrol,Manual,First,40,1197.0,81.86,10496,25010
405,2018,Petrol,Automatic,First,27,2996.0,367.0,107991,13916
406,2015,Petrol,Manual,Second,49,814.0,55.2,3422,12924
407,2018,Petrol,Manual,First,44,1197.0,81.86,8366,25054
408,2013,Petrol,Manual,First,30,1493.0,100.0,6617,32669
409,2010,Petrol,Manual,First,38,1198.0,73.9,3422,34175
410,2016,Petrol,Automatic,First,35,1798.0,187.74,37269,29204
411,2017,Petrol,Manual,First,35,1591.0,121.3,18300,14392
412,2011,Petrol,Automatic,Second,27,1796.0,186.0,12930,31068
413,2014,Petrol,Automatic,First,39,1998.0,189.08,43354,7394
414,2013,Diesel,Manual,First,55,1364.0,67.04,8747,22990
415,2014,Petrol,Manual,Second,45,1198.0,86.8,4867,18641
